,,,,,,,,,,,Timings,,,,,,,,,,,,,,,IDDs (mA),,,,,,,,,,
,,,,,,,,,Clock,,# Refresh Cycles,tREFw (ms),tREFI (us),tRFC (ns),tRAC (ns),tCAC (ns),tAA (ns),CL (nCK),CL (ns),tCCDs/tPC (ns),tRCD/tRCL (ns),tRAS (ns),tRP (ns),tRC (ns),tWR (ns),IDD0,IDD1,IDD2P,IDD2N,IDD3P,IDD3N,IDD4R,IDD4W,IDD5(B),IDD6(N),IDD8
Manufacturer,Model,Speed Bin,Datasheet URL,DRAM Standard,Year,Month,Capacity / Chip (Kib),DQ Pins/Chip,I/O Data Rate (MT/s),Bus Clock (MHz),,Refresh Window,Refresh Interval,Refresh Row Cycle Time,RAS to Data,CAS to Data,Coladdr to Data,CAS Latency,CAS Latency,CAS to CAS,RAS to CAS,ACT - PRE,PRE - ACT,ACT - ACT,WR - PRE,Operating Current (1 Bank Active),Operating Current (1 Bank Active-RD-Precharge),Precharge Power-Down Standby Current,Precharge Non-Power-Down Standby Current,Active Power-Down Standby Current,Active Non-Power-Down Standby Current (1 Bank Active),Continuous READ Current,Continuous WRITE Current,Auto Refresh Current,Self Refresh (45C),Deep Power-Down Current
Intel,1103,,http://www.decadecounter.com/vta/pdf/Intel%20Memory%20Design%20Handbook%20[1973-08].pdf,Asynchronous,1970,10,1,1,,Async,32,2,62.5,480,,300,300,,300,,,,,480,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4006P-6,,https://usermanual.wiki/Pdf/1974MostekIntegratedCircuitGuide.1468557856/view,Asynchronous,1971,,1,1,,Async,32,2,62.5,650,,400,400,,400,,,,,400,,,,,,,,,,,,
Mostek,MK4008P-6,,,Asynchronous,1971,,1,1,,Async,32,2,62.5,900,,500,500,,500,,,,,500,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4096,6,https://console5.com/techwiki/images/0/04/MK4096.pdf,Asynchronous,1973,,4,1,,Async,64,2,31.25,375,250,140,,,140,,60,250,115,375,,35,,1.5,,,,25,,25,,
Mostek,MK4096,16,"""",Asynchronous,1973,,4,1,,Async,64,2,31.25,425,300,165,,,165,,80,300,125,425,,30,,1.5,,,,22,,22,,
Mostek,MK4096,11,"""",Asynchronous,1973,,4,1,,Async,64,2,31.25,500,350,200,,,200,,100,350,150,500,,25,,1.5,,,,18,,18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4027J/N,2,https://console5.com/techwiki/images/d/df/MK4027.pdf,PM,1976,,4,1,,Async,64,2,31.25,320,150,100,,,100,170,20,120,100,320,,35,,2,,,,25,,25,,
,MK4027J/N,3,,PM,1976,,4,1,,Async,64,2,31.25,375,200,135,,,135,225,25,200,120,375,,35,,2,,,,25,,25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4116P,2,https://console5.com/techwiki/images/8/85/MK4116.pdf,PM,1976,9,16,1,,Async,128,2,15.6,375,150,100,,,100,170,20,150,100,375,,35,,1.5,,,,27,,25,,
,,3,,PM,1976,9,16,1,,Async,128,2,15.6,375,200,135,,,135,225,25,200,120,375,,35,,1.5,,,,27,,25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,TMS4416,12,http://pdf.datasheetcatalog.com/datasheets2/81/817426_1.pdf,PM,1984,,64,4,,Async,256,4,15.6,230,120,70,,,70,120,20,120,80,230,,54,,3.5,,,,46,,46,,
,,15,,PM,1984,,64,4,,Async,256,4,15.6,260,150,80,,,80,140,20,150,100,260,,40,,3.5,,,,25,,25,,
,,20,,PM,1984,,64,4,,Async,256,4,15.6,330,200,120,,,120,210,25,200,120,330,,35,,3.5,,,,21,,21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairchild,F4116,2,http://minuszerodegrees.net/memory/4116/datasheet_F4116.pdf,PM,1978,,16,1,,Async,128,2,15.6,320,150,100,,,100,170,20,150,100,320,,35,,1.5,,,,27,,25,,
,,3,,PM,1978,,16,1,,Async,128,2,15.6,375,200,135,,,135,225,25,200,120,375,,35,,1.5,,,,27,,25,,
,,4,,PM,1978,,16,1,,Async,128,2,15.6,410,250,165,,,165,275,35,250,150,410,,35,,1.5,,,,27,,27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,2118,2,https://drive.google.com/file/d/0B9rh9tVI0J5mNDkwZGEwM2QtMzYzNC00YjQ4LTg4NjYtOGY2ZGRkMDMxYjFm/view?resourcekey=0-vyWj--_z6lp7BjZ-6epTng,PM,1979,2,16,1,,Async,128,2,15.6,200,80,40,,,40,110,20,95,95,200,,,,1.5,,,,29,,24,,
,,3,,PM,1979,2,16,1,,Async,128,2,15.6,235,100,50,,,50,130,20,115,110,235,,,,1.5,,,,25,,20,,
,,4,,PM,1979,2,16,1,,Async,128,2,15.6,270,120,65,,,65,160,20,140,120,270,,,,1.5,,,,22,,18,,
,,7,,PM,1979,2,16,1,,Async,128,2,15.6,320,150,80,,,80,190,25,175,135,320,,,,1.5,,,,22,,18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTE,NTE4164,,http://www.farnell.com/datasheets/1905614.pdf,PM,1984,,64,1,,Async,256,4,15.6,230,120,70,,,70,130,15,120,80,230,,40,,3.5,,,,28,,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4564,-15,http://www.minuszerodegrees.net/memory/4164/datasheet_MK4564-15_and_MK4564-20.pdf,PM,1982,,64,1,,Async,128,2,15.6,260,150,85,,,85,155,20,150,100,260,,54,,4,,,,40,,45,,
,,-20,,PM,1982,,64,1,,Async,128,2,15.6,330,200,115,,,115,200,25,200,120,330,,54,,4,,,,40,,45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,M5K4164ANP,12,https://datasheetspdf.com/pdf-file/1110696/Mitsubishi/M5K4164ANP-15/1,PM,1981,,64,1,,Async,128,2,15.6,220,120,60,,,60,140,25,120,90,220,,50,,4,,,,40,,40,,
,,15,,PM,1981,,64,1,,Async,128,2,15.6,260,150,75,,,75,145,30,150,100,260,,45,,,,,,35,,35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,KM41464A,12,https://console5.com/techwiki/images/2/24/KM41464A.pdf,PM,1987,,256,4,,Async,256,4,15.6,220,120,60,,,60,120,25,120,90,220,,75,,4.5,,,,55,,65,,
,,15,,PM,1987,,256,4,,Async,256,4,15.6,260,150,75,,,75,145,25,150,100,260,,65,,4.5,,,,45,,60,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,M5M4256P,12,http://bitsavers.trailing-edge.com/components/mitsubishi/_dataBooks/1985_Mitsubishi_IC_Memories.pdf,PM,1985,,256,1,,Async,256,4,15.6,230,120,60,,,60,125,20,120,100,230,,65,,4.5,,,,50,,55,,
,,15,,PM,1985,,256,1,,Async,256,4,15.6,260,150,75,,,75,145,25,150,100,260,,60,,4.5,,,,45,,50,,
,,20,,PM,1985,,256,1,,Async,256,4,15.6,330,200,100,,,100,190,30,200,120,330,,50,,4.5,,,,40,,40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,TMS4464,10,https://www.silicon-ark.co.uk/datasheets/tms4464-datasheet-texas-instruments.pdf,PM,1987,6,256,4,,Async,256,4,15.6,200,100,50,65,,65,100,25,100,90,200,,70,,4.5,,,,50,,58,,
,,12,,PM,1987,6,256,4,,Async,256,4,15.6,220,120,60,80,,80,120,25,120,90,220,,65,,4.5,,,,45,,53,,
,,15,,PM,1987,6,256,4,,Async,256,4,15.6,260,150,75,100,,100,145,25,150,100,260,,60,,4.5,,,,40,,48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,SMJ4464,12,http://65xx.unet.bz/ds/TMS4464.pdf,PM,1989,11,256,4,,Async,256,4,15.6,230,120,60,80,,80,120,25,120,100,230,,65,,2.5,,,,45,,45,,
,,15,,PM,1989,11,256,4,,Async,256,4,15.6,260,150,75,100,,100,145,25,150,100,260,,55,,2.5,,,,40,,40,,
,,20,,PM,1989,11,256,4,,Async,256,4,15.6,330,200,100,145,,145,190,30,200,120,330,,50,,2.5,,,,30,,30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,21256,6,https://drive.google.com/file/d/0B9rh9tVI0J5mMjU2MDJlNzItNWVkYy00NWM0LThmZjEtYTkyYjE5MTQxOGI2/view?resourcekey=0-Q0K9JcVvNlgRngkBon8vAw,PM,1990,9,256,1,,Async,256,4,15.6,120,60,15,35,,35,40,15,60,55,120,,75,,2,,,,50,,75,,
, ,7,,PM,1990,9,256,1,,Async,256,4,15.6,135,70,25,35,,35,50,25,70,65,135,,70,,2,,,,45,,65,,
,,8,,PM,1990,9,256,1,,Async,256,4,15.6,150,80,30,40,,40,55,25,80,75,150,,60,,2,,,,40,,55,,
,,10,,PM,1990,9,256,1,,Async,256,4,15.6,190,100,50,50,,50,90,25,100,80,190,,55,,2,,,,35,,55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,M5M44256B-7,,https://datasheetspdf.com/pdf-file/1111257/Mitsubishi/M5M44256BP-10/1,FPM,1993,,1024,4,,Async,512,8,15.6,140,70,20,35,,35,45,20,70,60,140,,80,,2,,,,70,,80,,
,M5M44256B-8,,,FPM,1993,,1024,4,,Async,512,8,15.6,160,80,20,40,,40,50,25,80,70,160,,70,,2,,,,60,,70,,
,M5M44256B-10,,,FPM,1993,,1024,4,,Async,512,8,15.6,190,100,25,50,,50,60,25,100,80,190,,60,,2,,,,50,,60,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens,HYB511000BJ-50,,https://datasheetspdf.com/pdf-file/381513/Siemens/HYB511000BJ-/1,FPM,1995,1,1024,1,,Async,512,8,15.6,95,50,15,25,,25,,20,50,35,95,,90,,2,,,,70,,90,,
,HYB511000BJ-60,,,FPM,1995,1,1024,1,,Async,512,8,15.6,110,60,15,30,,30,,20,60,40,110,,80,,2,,,,60,,80,,
,HYB511000BJ-70,,,FPM,1995,1,1024,1,,Async,512,8,15.6,130,70,20,35,,35,,20,70,50,130,,70,,2,,,,50,,70,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amic,A416316B-30,,https://pdf1.alldatasheet.com/datasheet-pdf/view/55599/AMICC/A416316BS-35.html,FPM,2000,11,1024,16,,Async,256,4,15.6,65,30,10,16,,16,19,15,30,25,65,,95,,3,,,,95,,95,3,
,A416316B-35,,,FPM,2000,11,1024,16,,Async,256,4,15.6,70,35,11,18,,18,21,16,35,25,70,,85,,3,,,,85,,85,3,
,A416316B-40,,,FPM,2000,11,1024,16,,Async,256,4,15.6,75,40,12,20,,20,23,17,40,25,75,,75,,3,,,,75,,75,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,M5M44100-8,,https://www.datasheetarchive.com/pdf/download.php?id=74e4e0a53cd85e765cc396504a798082be9621&type=O&term=M5M44100,FPM,1991,1,4096,1,,Async,1024,16.4,16,160,80,20,40,,40,50,22,80,70,160,,95,,2,,,,95,,80,,
,M5M44100-10,,,FPM,1991,1,4096,1,,Async,1024,16.4,16,190,100,25,50,,50,60,25,100,80,190,,85,,1,,,,85,,70,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Tech,T224160B-30,,https://www.digchip.com/datasheets/download_datasheet.php?id=945886&part-number=T224160B,FPM,2001,3,4096,16,,Async,512,8,15.6,55,30,8,13,,13,19,10,30,25,55,,200,,4,,,,200,,200,,
,T224160B-35,,,FPM,2001,3,4096,16,,Async,512,8,15.6,65,35,9,15,,15,21,10,35,30,65,,180,,4,,,,180,,180,,
,T224160B-45,,,FPM,2001,3,4096,16,,Async,512,8,15.6,85,45,11,19,,19,25,10,45,35,85,,160,,4,,,,160,,160,,
,T224160B-60,,,FPM,2001,3,4096,16,,Async,512,8,15.6,110,60,15,30,,30,40,20,60,40,110,,140,,4,,,,140,,140,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosel Vitelic,V404J8-60,,https://www.datasheetarchive.com/pdf/download.php?id=d5e7f23416e86a5950d91ea69b37003889d50e&type=M&term=V404J8SU70,FPM,1993,2,8192,8,,Async,1024,16,15.6,120,60,15,30,,30,45,20,60,50,120,,190,,4,,,,190,,190,,
,V404J8-70,,,FPM,1993,2,8192,8,,Async,1024,16,15.6,130,70,20,35,,35,50,20,70,50,130,,180,,4,,,,160,,180,,
,V404J8-80,,,FPM,1993,2,8192,8,,Async,1024,16,15.6,150,80,20,40,,40,55,20,80,60,150,,160,,4,,,,140,,160,,
,V404J8-10,,,FPM,1993,2,8192,8,,Async,1024,16,15.6,180,100,25,50,,50,65,25,100,70,180,,140,,4,,,,120,,140,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance,AS4C256K16E0,30,http://www.dexsilicium.com/Alliance_AS4C256K16E0.pdf & http://vigir.missouri.edu/~gdesouza/ece4270/Manuals/DRAM.pdf,EDO,2001,11,4096,16,,Async,512,8,15.6,65,30,10,16,,16,12,15,30,25,65,,180,,2,,,,190,,200,2,
,,35,,EDO,2001,11,4096,16,,Async,512,8,15.6,70,35,10,18,,18,14,16,35,25,70,,160,,2,,,,180,,190,2,
,,50,,EDO,2001,11,4096,16,,Async,512,8,15.6,85,50,10,25,,25,25,15,50,25,85,,140,,2,,,,70,,140,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosel Vitelic,V53C808H,35,https://www.digchip.com/datasheets/download_datasheet.php?id=1031590&part-number=V53C808H,EDO,1998,4,8192,8,,Async,1024,16,15.6,70,35,12,18,,18,14,16,35,25,70,,160,,2,,,,95,,160,0.4,
,,40,,EDO,1998,4,8192,8,,Async,1024,16,15.6,75,40,12,20,,20,15,17,40,25,75,,150,,2,,,,90,,160,0.4,
,,45,,EDO,1998,4,8192,8,,Async,1024,16,15.6,80,45,13,22,,22,17,18,45,25,80,,145,,2,,,,85,,154,0.4,
,,50,,EDO,1998,4,8192,8,,Async,1024,16,15.6,90,50,14,24,,24,19,19,50,30,90,,135,,2,,,,80,,135,0.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSI,IS41LV32256,28,https://www.digchip.com/datasheets/download_datasheet.php?id=442395&part-number=IS41LV32256,EDO,2000,9,8192,32,,Async,512,8,15.6,48,28,9,15,,15,12,10,28,17,48,,250,,2.5,,,,230,,250,,
,,30,,EDO,2000,9,8192,32,,Async,512,8,15.6,53,30,9,16,,16,12,10,30,18,53,,250,,2.5,,,,230,,250,,
,,35,,EDO,2000,9,8192,32,,Async,512,8,15.6,60,35,10,18,,18,15,11,35,20,60,,240,,2.5,,,,220,,240,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSI,IS41C4400X,50,https://datasheetspdf.com/pdf-file/1237264/IntegratedSiliconSolution/IS41LV44002/1,EDO,2001,3,16384,4,,Async,4096,64,15.6,84,50,13,25,,25,20,12,50,30,84,,120,,2,,,,90,,120,,
,,60,,EDO,2001,3,16384,4,,Async,4096,64,15.6,104,60,15,30,,30,25,14,60,40,104,,110,,2,,,,80,,110,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,HY5118164B-60,,https://www.datasheetarchive.com/pdf/download.php?id=7413fece3e0e5dee9b73ec0bb7f6c53afd4c99&type=P&term=HY5118164B,EDO,1997,9,16384,16,,Async,1024,16,15.6,105,60,15,30,,30,,20,60,40,105,,160,,2,,,,140,,160,,
,HY5118164B-70,,,EDO,1997,9,16384,16,,Async,1024,16,15.6,125,70,20,35,,35,,20,70,50,125,,150,,2,,,,120,,150,,
,HY5118164B-80,,,EDO,1997,9,16384,16,,Async,1024,16,15.6,145,80,20,40,,40,,20,80,60,145,,140,,2,,,,100,,140,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance,AS4C4M4FOQ,50,https://www.datasheetarchive.com/pdf/download.php?id=c12832d7fa384ccc466fa8f0d33d169415452d&type=P&term=409--1%252Ftds%252B0541,FPM,2001,11,16384,4,,Async,4096,64,15.6,80,50,12,25,,25,30,15,50,30,80,,110,,2,,,,90,,110,0.6,
,,60,,FPM,,,16384,4,,Async,4096,64,15.6,100,60,15,30,,30,35,15,60,40,100,,100,,2,,,,80,,100,0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT48LC4M4A1-/MT48LC2M8A1-8B,-8B,https://www.digchip.com/datasheets/download_datasheet.php?id=688351&part-number=MT48LC2M8A1,SDRAM,1998,5,16384,4/8,125,125,4096,64,15.6,80,,,,,24,8,20,50,24,80,10,105,,3,,,45,125,125,95,1,
,MT48LC4M4A1-/MT48LC2M8A1-10,-10,,SDRAM,1998,5,16384,4/8,100,100,4096,64,15.6,90,,,,,30,10,30,60,30,90,10,90,,2,,,40,85,85,85,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,KM48S2020CT,-8,http://www.maxim4u.com/view_online.php?id=1777838&file=0390\km48s2020ct-fl_3917068.pdf,SDRAM,1997,3,16384,8,125,125,4096,64,15.6,68,,,,,24,8,20,48,20,68,,90,,1,15,2,25,110,,55,1,
,,-H,,,1997,3,16384,8,100,100,4096,64,15.6,70,,,,,20,10,20,50,20,70,,85,,1,15,2,25,95,,55,1,
,,-L,,,1997,3,16384,8,100,100,4096,64,15.6,70,,,,,24,10,20,50,20,70,,85,,1,15,2,25,95,,55,1,
,,-10,,,1997,3,16384,8,100,100,4096,64,15.6,80,,,,,26,10,26,50,26,80,,75,,1,15,2,25,95,,50,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens,HYB39S16400,8,https://www.digchip.com/datasheets/download_datasheet.php?id=390213&part-number=HYB39S16160AT-10,SDRAM,1998,10,16384,8,125,125,4096,64,15.6,60,,,,,24,8,24,36,24,60,,125,,3,20,3,25,120,,115,2,
,,10,https://www.digchip.com/datasheets/download_datasheet.php?id=390213&part-number=HYB39S16160AT-10,SDRAM,1998,10,16384,8,100,100,4096,64,15.6,75,,,,,30,10,30,45,30,75,,100,,3,20,3,25,95,,90,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4S160822D,7,http://pdf.datasheetcatalog.com/datasheet/SamsungElectronic/mXtvtzs.pdf,SDRAM,1999,8,16384,8,143,143,2048,32,15.6,68,,,,,20,7,20,48,20,68,,100,,2,15,3,25,120,,90,1,
,,8,,SDRAM,1999,8,16384,8,125,125,2048,32,15.6,68,,,,,24,8,20,48,20,68,,90,,2,15,3,25,110,,90,1,
,,H,,SDRAM,1999,8,16384,8,100,100,2048,32,15.6,70,,,,,20,10,20,50,20,70,,85,,2,15,3,25,95,,90,1,
,,L,,SDRAM,1999,8,16384,8,100,100,2048,32,15.6,70,,,,,24,10,20,50,20,70,,85,,2,15,3,25,95,,90,1,
,,10,,SDRAM,1999,8,16384,8,100,100,2048,32,15.6,80,,,,,26,10,26,50,26,80,,75,,2,15,3,25,95,,80,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amic, A43L0632-6,,https://datasheetspdf.com/pdf-file/672656/AMICTechnology/A43L0632/1,SDRAM,2005,8,32768,32,167,167,4096,64,15.6,60,,,,,#REF!,6,18,42,18,60,,50,,0.5,12,12,,50,,70,0.2,
, A43L0632-7,,,SDRAM,2005,8,32768,32,143,143,4096,64,15.6,68,,,,,#REF!,7,20,49,20,68,,50,,0.5,12,12,,50,,70,0.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite,M52S32321A,6,http://www.farnell.com/datasheets/62304.pdf,SDRAM,2006,10,32768,32,166,166,4096,64,15.6,54,,,,,20,6,18,36,18,54,,100,,0.3,9,2,15,100,,40,0.18,0.015
,,7.5,,SDRAM,2006,10,32768,32,133,133,4096,64,15.6,67.5,,,,,22.5,7.5,22.5,45,22.5,67.5,,80,,0.3,9,2,15,80,,40,0.18,0.015
,,10,,SDRAM,2006,10,32768,32,100,100,4096,64,15.6,90,,,,,27,10,30,50,30,90,,60,,0.3,9,2,15,60,,40,0.18,0.015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosel Vitelic,V58C265164S,4,https://datasheetspdf.com/pdf-file/295988/MoselVitelicCorp/V58C265164S/1,DDR,2001,8,65536,16,500,250,4096,64,15.6,68,,,,2,12,4,18,40,18,60,5,150,,20,45,30,60,160,,200,2,
,V58C265164S,45,,DDR,2001,8,65536,16,450,225,4096,64,15.6,68,,,,2,13.5,4.5,18,40,18,60,5.625,145,,20,45,30,60,155,,200,2,
,V58C265164S,5,,DDR,2001,8,65536,16,400,200,4096,64,15.6,70,,,,2,15,5,20,40,18,60,6.25,140,,20,45,30,60,150,,200,2,
,V58C265164S,55,,DDR,2001,8,65536,16,366,183,4096,64,15.6,70,,,,2,16.5,5.5,20,40,20,60,6.875,135,,20,45,30,60,145,,200,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4D623237A-QC55,,https://www.datasheetarchive.com/pdf/download.php?id=1ddb8613b8da9b267a1e546d9442e36e6a9d62&type=M&term=K4D623237A,DDR,2000,4,65536,32,366,183,2048,16,7.8,71.5,,,,3,16.5,5.5,22,44,16.5,60.5,11,280,,3,125,6,130,420,,350,4,
,K4D623237A-QC60,,,DDR,2000,4,65536,32,333,166,2048,16,7.8,72,,,,3,18,6,18,42,18,60,12,280,,3,105,6,120,400,,340,4,
,K4D623237A-QC70,,,DDR,2000,4,65536,32,286,143,2048,16,7.8,84,,,,3,21,7,21,49,21,70,14,260,,3,100,6,105,370,,300,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT46V2M32-5,,https://datasheetspdf.com/pdf-file/534262/MicronTechnology/MT46V2M32/1,DDR,2001,12,65536,32,,200,4096,32,7.8,66,,,,3,15,,20,40,20,60,10,180,200,3,120,70,125,355,270,245,3.5,
,MT46V2M32-55,,,DDR,2001,12,65536,32,,183,4096,32,7.8,66,,,,3,16.39344262,,22,40,22,56.5,10.92896175,175,195,3,110,65,113,330,250,245,3.5,
,MT46V2M32-6,,,DDR,2001,12,65536,32,,166,4096,32,7.8,66,,,,3,18.07228916,,18,40,18,58,12.04819277,165,190,3,100,60,105,310,240,245,3.5,
,MT46V2M32-65,,,DDR,2001,12,65536,32,,150,4096,32,7.8,66,,,,3,20,,19.5,40,19.5,59.5,13.33333333,155,185,3,90,55,95,295,220,245,3.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT46V32M4,6,https://www.compel.ru/item-pdf/b6f0ed7c2d40f9dc96e3fa571607bc09/ps/micron~mt46v8m16.pdf,DDR,2001,10,131072,4/8/16,333,167,4096,64,15.6,72,,,,2.5,14.97005988,,18,42,18,60,15,125,135,3,45,25,50,140,140,265,3,
,MT46V32M4,6T,,DDR,2001,10,131072,4/8/16,333,167,4096,64,15.6,72,,,,2.5,14.97005988,,18,42,18,60,15,125,135,3,45,25,50,140,140,265,3,
,MT46V32M4,75E,,DDR,2001,10,131072,4/8/16,266,133,4096,64,15.6,75,,,,2,15.03759398,,15,40,15,60,15,110,120,3,45,25,50,130,125,220,3,
,MT46V32M4,75Z/75,,DDR,2001,10,131072,4/8/16,266,133,4096,64,15.6,75,,,,2,15.03759398,,20,40,20,65,15,105,120,3,40,20,45,125,120,220,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSI,IS42S81600B,6,https://datasheetspdf.com/pdf-file/591012/ISSI/IS42S81600B/1,SDRAM,2006,5,131072,8,167,167,4096,64,15.6,60,,,,3,17.96407186,6,15,42,18,60,,120,,2,25,,30,170,,180,2,
,,6,,SDRAM,2006,5,131072,16,167,167,4096,64,15.6,60,,,,3,17.96407186,6,15,42,18,60,,140,,2,25,,30,180,,180,2,
,,7,,SDRAM,2006,5,131072,8,143,143,4096,64,15.6,67.5,,,,3,20.97902098,7,20,45,20,67.5,,100,,2,25,,30,120,,160,2,
,,7,,SDRAM,2006,5,131072,16,143,143,4096,64,15.6,67.5,,,,3,20.97902098,7,20,45,20,67.5,,120,,2,25,,30,130,,160,2,
