,,,,,,,,,,,Timings,,,,,,,,,,,,,,,IDDs (mA),,,,,,,,,,
,,75E,,SDRAM,2006,5,131072,8,133,133,4096,64,15.6,67.5,,,,2,15.03759398,7.5,20,45,20,67.5,,100,,2,25,,30,120,,160,2,
,,75E,,SDRAM,2006,5,131072,16,133,133,4096,64,15.6,67.5,,,,2,15.03759398,7.5,20,45,20,67.5,,120,,2,25,,30,130,,160,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT46V64M4,5B,https://media-www.micron.com/-/media/client/global/documents/products/data-sheet/dram/ddr1/256mb_ddr.pdf?rev=7d969af24d6d4b74a34e427f350b1c77,DDR,2003,,262144,16,400,200,8192,64,7.8,70,,,,3,15,,15,40,15,55,15,100,120,4,50,35,60,180,180,160,4,
,MT46V64M4,6,,DDR,2003,,262144,16,334,167,8192,64,7.8,72,,,,2.5,14.97005988,,15,42,15,60,15,90,115,4,50,30,55,160,160,160,4,
,MT46V64M4,6T,,DDR,2003,,262144,16,334,167,8192,64,7.8,72,,,,2.5,14.97005988,,15,42,15,60,15,90,115,4,50,30,55,160,160,160,4,
,MT46V64M4,75E,,DDR,2003,,262144,16,266,133,8192,64,7.8,75,,,,2,15.03759398,,15,40,15,60,15,,,,,,,,,,,
,MT46V64M4,75Z,,DDR,2003,,262144,16,266,133,8192,64,7.8,75,,,,2,15.03759398,,20,40,20,65,15,,,,,,,,,,,
,MT46V64M4,75,,DDR,2003,,262144,16,266,133,8192,64,7.8,75,,,,2.5,18.79699248,,20,40,20,65,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4S561632A-75,,https://www.datasheetarchive.com/pdf/download.php?id=fd48625bbd5e92da34308233eb404f7635e593&type=M&term=K4S561632A,SDRAM,1999,9,262144,16,133.3333333,133.3333333,8192,64,7.8,65,,,,3,22.5,7.5,20,45,20,65,,150,,2,16,6,35,180,,210,5,
,K4S561632A-80,,,SDRAM,1999,9,262144,16,125,125,8192,64,7.8,68,,,,3,24,8,20,48,20,68,,150,,2,16,6,35,180,,210,5,
,K4S561632A-1H,,,SDRAM,1999,9,262144,16,100,100,8192,64,7.8,70,,,,2,20,10,20,50,20,70,,140,,2,16,6,35,145,,200,5,
,K4S561632A-1L,,,SDRAM,1999,9,262144,16,100,100,8192,64,7.8,70,,,,2,20,10,20,50,20,70,,140,,2,16,6,35,145,,200,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4S560432E-75/K4S560832E (x4/x8),,https://ru.datasheetbank.com/datasheet-download/429400/1/Samsung/K4S560432E-UC75,SDRAM,2003,5,262144,4/8,133,133,8192,64,7.8,65,,,,3,22.55639098,,20,45,20,65,,80,,2,20,6,25,100,,180,3,
,K4S561632E-75 (x16),,,SDRAM,2003,5,262144,16,166,166,8192,64,7.8,65,,,,3,18.07228916,,20,45,20,65,,90,,2,20,6,25,130,,180,3,
,K4S561632E-60 (x16),,,SDRAM,2003,5,262144,16,166,166,8192,64,7.8,60,,,,3,18.07228916,,18,42,18,60,,140,,2,20,6,25,170,,200,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasmung,K4T51043QC,800,https://www.digchip.com/datasheets/download_datasheet.php?id=1088989&part-number=K4T51083QC,DDR2,2006,1,524288,4,800,400,8192,64,7.8,105,,,,5,12.5,5,12.5,39,12.5,51.5,15,95,105,8,40,30,55,150,145,150,8,
,,800,,DDR2,2006,1,524288,8,800,400,8192,64,7.8,105,,,,5,12.5,5,12.5,39,12.5,51.5,15,100,110,8,40,30,60,170,165,155,8,
,,800,,DDR2,2006,1,524288,16,800,400,8192,64,7.8,105,,,,5,12.5,5,12.5,39,12.5,51.5,15,105,120,8,40,30,60,200,195,155,8,
,,667,,DDR2,2006,1,524288,4,667,333.5,8192,64,7.8,105,,,,5,14.99250375,6,15,39,15,54,15,85,100,8,40,30,55,135,130,150,8,
,,667,,DDR2,2006,1,524288,8,667,333.5,8192,64,7.8,105,,,,5,14.99250375,6,15,39,15,54,15,85,100,8,40,30,55,145,140,150,8,
,,667,,DDR2,2006,1,524288,16,667,333.5,8192,64,7.8,105,,,,5,14.99250375,6,15,39,15,54,15,100,115,8,40,30,55,180,175,150,8,
,,533,,DDR2,2006,1,524288,4,533,266.5,8192,64,7.8,105,,,,4,15.00938086,7.5,15,40,15,55,15,80,95,8,35,30,50,115,110,140,8,
,,533,,DDR2,2006,1,524288,8,533,266.5,8192,64,7.8,105,,,,4,15.00938086,7.5,15,40,15,55,15,80,95,8,35,30,50,125,120,140,8,
,,533,,DDR2,2006,1,524288,16,533,266.5,8192,64,7.8,105,,,,4,15.00938086,7.5,15,40,15,55,15,95,110,8,35,30,50,160,155,140,8,
,,400,,DDR2,2006,1,524288,4,400,200,8192,64,7.8,105,,,,3,15,10,15,40,15,55,15,80,95,8,35,30,50,105,100,140,8,
,,400,,DDR2,2006,1,524288,8,400,200,8192,64,7.8,105,,,,3,15,10,15,40,15,55,15,80,95,8,35,30,50,110,110,140,8,
,,400,,DDR2,2006,1,524288,16,400,200,8192,64,7.8,105,,,,3,15,10,15,40,15,55,15,95,110,8,35,30,50,140,135,140,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT47H256M4,187E,https://media-www.micron.com/-/media/client/global/documents/products/data-sheet/dram/ddr2/1gb_ddr2.pdf?rev=854b480189b84d558d466bc18efe270c,DDR2,2007,,1048576,4,1066,533,8192,64,7.8,127.5,,,,7,13.13320826,3.75,13.125,40,13.125,54,15,75,85,7,34,23,40,140,145,155,7,
,,187E,,DDR2,2007,,1048576,8,1066,533,8192,64,7.8,127.5,,,,7,13.13320826,3.75,13.125,40,13.125,54,15,75,85,7,34,23,40,140,145,155,7,
,,187E,,DDR2,2007,,1048576,16,1066,533,8192,64,7.8,127.5,,,,7,13.13320826,3.75,13.125,40,13.125,54,15,90,100,7,36,23,42,180,185,160,7,
,,25E,,DDR2,2007,,1048576,4,800,400,8192,64,7.8,127.5,,,,5,12.5,5,12.5,40,12.5,55,15,65,75,7,28,20,33,120,125,145,7,
,,25E,,DDR2,2007,,1048576,8,800,400,8192,64,7.8,127.5,,,,5,12.5,5,12.5,40,12.5,55,15,65,75,7,28,20,33,120,125,145,7,
,,25E,,DDR2,2007,,1048576,16,800,400,8192,64,7.8,127.5,,,,5,12.5,5,12.5,40,12.5,55,15,80,95,7,30,20,35,150,160,150,7,
,,3,,DDR2,2007,,1048576,4,667,333.5,8192,64,7.8,127.5,,,,5,14.99250375,6,15,40,15,55,15,60,70,7,24,15,30,110,115,140,7,
,,3,,DDR2,2007,,1048576,8,667,333.5,8192,64,7.8,127.5,,,,5,14.99250375,6,15,40,15,55,15,60,70,7,24,15,30,110,115,140,7,
,,3,,DDR2,2007,,1048576,16,667,333.5,8192,64,7.8,127.5,,,,5,14.99250375,6,15,40,15,55,15,75,90,7,26,15,32,125,135,145,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanya,NT5CB512M,4GN-CG,http://www.sunnyqi.com/upLoad/product/month_1308/NT5CB256M8GN.pdf,DDR3,2011,8,2097152,4,1333,666.5,8192,64,7.8,160,,,,9,13.50337584,,13.125,36,13.125,49.125,15,65,75,15,38,45,50,125,115,190,15,
,,8GN-CG,,DDR3,2011,8,2097152,8,1333,666.5,8192,64,7.8,160,,,,9,13.50337584,,13.125,36,13.125,49.125,15,65,75,15,38,45,50,140,130,190,15,
,,4GN-DI,,DDR3,2011,8,2097152,4,1600,800,8192,64,7.8,160,,,,11,13.75,,13.75,35,13.75,48.75,15,70,80,15,43,50,55,140,130,190,15,
,,8GN-DI,,DDR3,2011,8,2097152,8,1600,800,8192,64,7.8,160,,,,11,13.75,,13.75,35,13.75,48.75,15,70,80,15,43,50,55,155,145,190,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4B4G0446A,1066x4,https://www.samsung.com/semiconductor/global.semi/file/resource/2017/11/DS_K4B4G0846D-BC_Rev123-0.pdf,DDR3,2010,7,4194304,4,1066,533,8192,64,7.8,300,,,,7,13.13320826,7.5,13.125,37.5,13.125,50.625,15,50,60,20,25,25,40,80,90,150,15,15
,,1066x8,,DDR3,2010,7,4194304,8,1066,533,8192,64,7.8,300,,,,7,13.13320826,7.5,13.125,37.5,13.125,50.625,15,50,65,20,25,25,40,95,105,155,15,15
,,1333x4,,DDR3,2010,7,4194304,4,1333,666.5,8192,64,7.8,300,,,,9,13.50337584,6,13.5,36,13.5,49.5,15,55,65,20,30,25,45,95,105,170,15,15
,,1333x8,,DDR3,2010,7,4194304,8,1333,666.5,8192,64,7.8,300,,,,9,13.50337584,6,13.5,36,13.5,49.5,15,55,70,20,30,25,45,110,130,170,15,15
,,1600x4,,DDR3,2010,7,4194304,4,1600,800,8192,64,7.8,300,,,,11,13.75,5,13.75,35,13.75,48.75,15,60,70,20,30,30,50,105,120,180,15,15
,,1600x8,,DDR3,2010,7,4194304,8,1600,800,8192,64,7.8,300,,,,11,13.75,5,13.75,35,13.75,48.75,15,60,75,20,30,30,50,125,140,180,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4B4G0446A,1333x4,https://www.samsung.com/semiconductor/global.semi/file/resource/2017/11/DS_K4B4G0846D-BC_Rev123-0.pdf,DDR3,2013,7,4194304,4,1333,666.5,8192,64,7.8,260,,,,9,13.50337584,6,13.5,36,13.5,49.5,15,29,40,11,13,11,21,65,65,200,15,15
,,1333x8,,DDR3,2013,7,4194304,8,1333,666.5,8192,64,7.8,260,,,,9,13.50337584,6,13.5,36,13.5,49.5,15,29,40,11,13,11,21,65,65,200,15,15
,,1600x4,,DDR3,2013,7,4194304,4,1600,800,8192,64,7.8,260,,,,11,13.75,5,13.75,35,13.75,48.75,15,31,42,11,13,11,23,75,75,200,15,15
,,1600x8,,DDR3,2013,7,4194304,8,1600,800,8192,64,7.8,260,,,,11,13.75,5,13.75,35,13.75,48.75,15,31,42,11,13,11,23,75,75,200,15,15
,,1866x4,,DDR3,2013,7,4194304,4,1866,933,8192,64,7.8,260,,,,13,13.9335477,4.287245445,13.91,34,13.91,47.91,15,33,47,11,14,11,23,84,84,200,15,15
,,1866x8,,DDR3,2013,7,4194304,8,1866,933,8192,64,7.8,260,,,,13,13.9335477,4.287245445,13.91,34,13.91,47.91,15,33,47,11,14,11,23,84,84,200,15,15
,,2133x8,,DDR3,2013,7,4194304,8,2133,1066.5,8192,64,7.8,260,,,,14,13.1270511,3.75,13.09,33,13.09,46.09,15,35,50,11,14,12,24,95,95,200,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hynix,H5TQ4G43MFR,G7,https://pdf1.alldatasheet.com/datasheet-pdf/view/533445/HYNIX/H5TQ4G63MFR-H9C.html,DDR3,2011,4,4194304,4,1066,533,8192,64,7.8,260,,,,7,13.13320826,,13.125,37.5,13.125,50.625,,45,55,20,25,25,35,85,85,140,20,
,,,,DDR3,2011,4,4194304,8,1066,533,8192,64,7.8,260,,,,7,13.13320826,,13.125,37.5,13.125,50.625,,45,55,20,25,25,35,95,100,140,20,
,,,,DDR3,2011,4,4194304,16,1066,533,8192,64,7.8,260,,,,7,13.13320826,,13.125,37.5,13.125,50.625,,55,70,20,25,25,35,130,135,140,20,
,,H9,,DDR3,2011,4,4194304,4,1333,667,8192,64,7.8,260,,,,9,13.49325337,,13.5,36,13.5,49.5,,50,60,20,30,25,35,100,100,145,20,
,,,,DDR3,2011,4,4194304,8,1333,667,8192,64,7.8,260,,,,9,13.49325337,,13.5,36,13.5,49.5,,50,60,20,30,25,35,110,115,145,20,
,,,,DDR3,2011,4,4194304,16,1333,667,8192,64,7.8,260,,,,9,13.49325337,,13.5,36,13.5,49.5,,60,75,20,30,25,35,150,155,145,20,
,,PB,,DDR3,2011,4,4194304,4,1600,800,8192,64,7.8,260,,,,11,13.75,,13.75,35,13.75,48.75,,50,60,20,30,25,35,115,110,145,20,
,,,,DDR3,2011,4,4194304,8,1600,800,8192,64,7.8,260,,,,11,13.75,,13.75,35,13.75,48.75,,50,60,20,30,25,35,125,130,145,20,
,,,,DDR3,2011,4,4194304,16,1600,800,8192,64,7.8,260,,,,11,13.75,,13.75,35,13.75,48.75,,60,75,20,30,25,35,175,180,145,20,
,,RD,,DDR3,2011,4,4194304,4/8/16,1866,933,8192,64,7.8,260,,,,13,13.9335477,,13.91,34,13.91,47.91,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4A8G165WC,2133,https://www.samsung.com/semiconductor/global.semi/file/resource/2017/12/x16%20only_8G_C_DDR4_Samsung_Spec_Rev1.5_Apr.17.pdf,DDR4,2016,6,8388608,16,2133,1066.5,8192,64,7.8,350,,,,15,14.06469761,3.75,14.06,33,14.06,47.06,15,38,44,11,17,19,27,128,101,204,22,9
,,2400,,DDR4,2016,6,8388608,16,2400,1200,8192,64,7.8,350,,,,17,14.16666667,3.33,14.16,32,14.16,46.16,15,38,44,11,18,19,27,137,111,204,22,9
,,2666,,DDR4,2016,6,8388608,16,2666,1333,8192,64,7.8,350,,,,19,14.25356339,3,14.25,32,14.25,46.25,15,40,44,11,18,19,27,166,128,204,22,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT40A2G,A.2133x4-093E,https://www.micron.com/-/media/client/global/documents/products/data-sheet/dram/ddr4/8gb_ddr4_sdram.pdf,DDR4,2015,,8388608,4,2133,1066.5,8192,64,7.8,350,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,15,55,70,25,45,35,55,135,135,64,25,20
,,A.2133x8-093E,,DDR4,2015,,8388608,8,2133,1066.5,8192,64,7.8,350,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,15,55,70,25,45,35,55,150,150,64,25,20
,,A.2133x16-093E,,DDR4,2015,,8388608,16,2133,1066.5,8192,64,7.8,350,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,15,85,105,45,65,55,75,210,210,84,25,20
,,A.2400x4-083E,,DDR4,2015,,8388608,4,2400,1200,8192,64,7.8,350,,,13.32,16,13.33333333,3.333333333,13.32,32,13.32,45.32,15,60,75,30,50,40,55,145,145,64,25,20
,,A.2400x8-083E,,DDR4,2015,,8388608,8,2400,1200,8192,64,7.8,350,,,13.32,16,13.33333333,3.333333333,13.32,32,13.32,45.32,15,60,75,30,50,40,55,150,160,64,25,20
,,A.2400x16-083E,,DDR4,2015,,8388608,16,2400,1200,8192,64,7.8,350,,,13.32,16,13.33333333,3.333333333,13.32,32,13.32,45.32,15,90,110,50,70,60,75,230,230,84,25,20
,,A.2666x4-075E,,DDR4,2015,,8388608,4,2666,1333,8192,64,7.8,350,,,13.5,18,13.50337584,3.000750188,13.5,32,13.5,45.5,15,65,80,35,55,40,60,160,160,68,25,20
,,A.2666x8-075E,,DDR4,2015,,8388608,8,2666,1333,8192,64,7.8,350,,,13.5,18,13.50337584,3.000750188,13.5,32,13.5,45.5,15,65,80,35,55,40,60,175,175,68,25,20
,,A.2666x16-075E,,DDR4,2015,,8388608,16,2666,1333,8192,64,7.8,350,,,13.5,18,13.50337584,3.000750188,13.5,32,13.5,45.5,15,95,115,55,75,65,85,250,250,94,25,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT40A*,062E,https://www.micron.com/-/media/client/global/documents/products/data-sheet/dram/ddr4/16gb_ddr4_sdram.pdf,DDR4,2018,,16777216,4,3200,1600,8192,64,7.8,350,,,,22,13.75,2.5,13.75,32,13.75,45.75,15,55,66,38,45,48,60,127,105,68,20,36
,MT40A*,062E,,DDR4,2018,,16777216,8,3200,1600,8192,64,7.8,350,,,,22,13.75,2.5,13.75,32,13.75,45.75,15,60,71,38,45,50,61,162,128,68,20,36
,MT40A*,062E,,DDR4,2018,,16777216,16,3200,1600,8192,64,7.8,350,,,,22,13.75,2.5,13.75,32,13.75,45.75,15,70,84,38,45,51,62,299,236,68,20,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hynix,H5AN4G4NAFR,2133x4,https://datasheetspdf.com/pdf-file/1309166/HynixSemiconductor/H5AN4G8NAFR-xxC/1,DDR4,2016,3,4194304,4,2133,1066.5,8192,64,7.8,260,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,,28,36,12,17,28,34,78,79,182,12,7
,,2133x8,,DDR4,2016,3,4194304,8,2133,1066.5,8192,64,7.8,260,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,,30,40,12,17,28,34,101,108,182,12,7
,,2133x16,,DDR4,2016,3,4194304,16,2133,1066.5,8192,64,7.8,260,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,,41,56,12,17,28,34,162,173,182,12,7
,,2400x4,,DDR4,2016,3,4194304,4,2400,1200,8192,64,7.8,260,,,14.16,17,14.16666667,3.333333333,14.16,32,14.16,46.16,,32,42,13,18,30,37,113,121,182,12,7
,,2400x8,,DDR4,2016,3,4194304,8,2400,1200,8192,64,7.8,260,,,14.16,17,14.16666667,3.333333333,14.16,32,14.16,46.16,,32,42,13,18,30,37,113,121,182,12,7
,,2400x16,,DDR4,2016,3,4194304,16,2400,1200,8192,64,7.8,260,,,14.16,17,14.16666667,3.333333333,14.16,32,14.16,46.16,,44,59,13,18,30,37,181,194,182,12,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hynix,H5AN8G4NAFR,2133x4,https://www.digchip.com/datasheets/download_datasheet.php?id=217237&part-number=H5AN8G8NAFR&type=pn2,DDR4,2017,6,8388608,4,2133,1066.5,8192,64,7.8,350,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,,37,44,18,26,36,44,104,98,195,22,12
,,2133x8,,DDR4,2017,6,8388608,8,2133,1066.5,8192,64,7.8,350,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,,37,46,18,26,36,44,115,111,195,22,12
,,2133x16,,DDR4,2017,6,8388608,16,2133,1066.5,8192,64,7.8,350,,,14.06,15,14.06469761,3.750586029,14.06,33,14.06,47.06,,44,57,18,26,36,44,177,154,195,22,12
,,2400x4,,DDR4,2017,6,8388608,4,2400,1200,8192,64,7.8,350,,,14.16,17,14.16666667,3.333333333,14.16,32,14.16,46.16,,38,46,18,27,37,45,113,107,196,22,12
,,2400x8,,DDR4,2017,6,8388608,8,2400,1200,8192,64,7.8,350,,,14.16,17,14.16666667,3.333333333,14.16,32,14.16,46.16,,38,48,18,27,37,45,124,120,196,22,12
,,2400x16,,DDR4,2017,6,8388608,16,2400,1200,8192,64,7.8,350,,,14.16,17,14.16666667,3.333333333,14.16,32,14.16,46.16,,46,60,18,27,37,45,195,170,196,22,12
,,2666x4,,DDR4,2017,6,8388608,4,2666,1333,8192,64,7.8,350,,,14.25,19,14.25356339,3.000750188,14.25,32,14.25,46.25,,40,49,19,29,38,47,122,116,197,22,12
,,2666x8,,DDR4,2017,6,8388608,8,2666,1333,8192,64,7.8,350,,,14.25,19,14.25356339,3.000750188,14.25,32,14.25,46.25,,40,51,19,29,38,47,134,131,197,22,12
,,2666x16,,DDR4,2017,6,8388608,16,2666,1333,8192,64,7.8,350,,,14.25,19,14.25356339,3.000750188,14.25,32,14.25,46.25,,48,62,19,29,38,47,229,185,197,22,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hynix,H5AN8G4NCJR,,http://www.hytic.net/upload/files/2019/10/SK%20Hynix%20%20%20-H5AN8G4NCJR.pdf,DDR4,2019,3,8388608,4,2666,1333,8192,64,7.8,350,,,,19,14.25356339,,14.25,32,14.25,46.25,,37,45,20,28,31,38,94,92,197,21,12
,,,,DDR4,2019,3,8388608,8,2666,1333,8192,64,7.8,350,,,,19,14.25356339,,14.25,32,14.25,46.25,,37,47,20,28,31,38,126,108,197,21,12
,,,,DDR4,2019,3,8388608,16,2666,1333,8192,64,7.8,350,,,,19,14.25356339,,14.25,32,14.25,46.25,,45,61,20,28,31,38,200,160,197,21,12
,,,,DDR4,2019,3,8388608,4,2933,1467,8192,64,7.8,350,,,,21,14.31492843,,14.32,32,14.32,46.32,,39,47,21,29,32,40,105,100,198,21,12
,,,,DDR4,2019,3,8388608,8,2933,1467,8192,64,7.8,350,,,,21,14.31492843,,14.32,32,14.32,46.32,,39,49,21,29,32,40,137,118,198,21,12
,,,,DDR4,2019,3,8388608,16,2933,1467,8192,64,7.8,350,,,,21,14.31492843,,14.32,32,14.32,46.32,,47,62,21,29,32,40,218,168,198,21,12
,,,,DDR4,2019,3,8388608,4,3200,1600,8192,64,7.8,350,,,,22,13.75,,13.75,32,13.75,45.75,,39,48,22,30,33,41,112,106,199,21,12
,,,,DDR4,2019,3,8388608,8,3200,1600,8192,64,7.8,350,,,,22,13.75,,13.75,32,13.75,45.75,,39,50,22,30,33,41,147,124,199,21,12
,,,,DDR4,2019,3,8388608,16,3200,1600,8192,64,7.8,350,,,,22,13.75,,13.75,32,13.75,45.75,,47,63,22,30,33,41,235,179,199,21,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4AAG085WA,,https://www.memory-distributor.com/pub/media/downloads/datasheets/K4AAG085WA_BIxx.pdf,DDR4,2020,3,16777216,8,2666,1333,8192,64,7.8,350,,,,19,14.25356339,,14.25,32,14.25,46.25,15,50,56,25,34,37,51,122,109,540,53,24
,,,,,2020,3,16777216,8,3200,1600,8192,64,7.8,350,,,,22,13.75,,13.75,32,13.75,45.75,15,54,59,25,34,37,51,137,122,560,53,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,K4AAG045WA,2933x4,https://www.memory-distributor.com/pub/media/downloads/datasheets/K4AAG085WA_BIxx.pdf,DDR4,2019,11,16777216,4,2933,1466.5,8192,64,7.8,350,,,14.32,21,14.31980907,,14.32,32,14.32,46.32,15,42,47,21,29,31,41,101,94,520,43,21
,,3200x4,,DDR4,2019,11,16777216,4,3200,1600,8192,64,7.8,350,,,13.75,22,13.75,,13.75,32,13.75,45.75,15,45,50,22,30,31,42,107,100,530,43,22
,,2666x8,,DDR4,2019,11,16777216,8,2666,1333,8192,64,7.8,350,,,14.25,19,14.25356339,,14.25,32,14.25,46.25,15,42,48,20,29,31,41,115,100,325,43,20
,,2933x8,,DDR4,2019,11,16777216,8,2933,1466.5,8192,64,7.8,350,,,14.32,21,14.31980907,,14.32,32,14.32,46.32,15,45,49,21,29,31,41,119,102,335,43,21
,,3200x8,,DDR4,2019,11,16777216,8,3200,1600,8192,64,7.8,350,,,13.75,22,13.75,,13.75,32,13.75,45.75,15,47,52,22,30,31,41,128,112,345,43,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,MT60B1G16,48B,https://media-www.micron.com/-/media/client/global/documents/products/data-sheet/dram/ddr5/16gb_ddr5_sdram_diereva.pdf?rev=c95e4a49184145f18e105cc41e0ee643,DDR5,2021,10,16777216,4,4800,2400,8192,32,3.9,295,,,,40,16.66666667,3.33,16,32,16,48,30,103,,88,92,140,142,318,345,,,80
,,,,DDR5,2021,10,16777216,8,4800,2400,8192,32,3.9,295,,,,40,16.66666667,3.33,16,32,16,48,30,103,,88,92,140,142,377,349,,,80
,,,,DDR5,2021,10,16777216,16,4800,2400,8192,32,3.9,295,,,,40,16.66666667,3.33,16,32,16,48,30,122,,88,92,140,142,530,479,,,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hynix,HMCG66MEB*,EB,https://gzhls.at/blob/ldb/b/e/5/8/5bc212f7c92604fd3737505ee4c96014733c.pdf,DDR5,2021,3,16777216,4/8/16,4800,2400,8192,32,3.9,,,,,40,16.66666667,,16,32,16,48,,,,,,,,,,,,